"month","total_revenue"
"2016-09-01 00:00:00","143.46"
"2016-10-01 00:00:00","46490.66"
"2016-12-01 00:00:00","19.62"
"2017-01-01 00:00:00","127482.37"
"2017-02-01 00:00:00","271239.32"
"2017-03-01 00:00:00","414330.95"
"2017-04-01 00:00:00","390812.40"
"2017-05-01 00:00:00","566851.40"
"2017-06-01 00:00:00","490050.37"
"2017-07-01 00:00:00","566299.08"
"2017-08-01 00:00:00","645832.36"
"2017-09-01 00:00:00","701077.49"
"2017-10-01 00:00:00","751117.01"
"2017-11-01 00:00:00","1153364.20"
"2017-12-01 00:00:00","843078.29"
"2018-01-01 00:00:00","1077887.46"
"2018-02-01 00:00:00","966168.41"
"2018-03-01 00:00:00","1120598.24"
"2018-04-01 00:00:00","1132878.93"
"2018-05-01 00:00:00","1128774.52"
"2018-06-01 00:00:00","1011978.29"
"2018-07-01 00:00:00","1027807.28"
"2018-08-01 00:00:00","985491.64"
